participant,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,0.0125,right,left,FALSE,left,1.1736461999998937,FALSE
001,0.025,right,right,TRUE,right,0.6434721000005084,TRUE
001,0.0125,left,left,TRUE,left,1.064533200000369,TRUE
001,0.075,right,left,FALSE,right,0.7412990000002537,TRUE
001,0.0125,right,left,FALSE,left,0.580158400000073,FALSE
001,0.075,right,right,TRUE,left,0.37252730000000156,FALSE
001,0.0375,left,left,TRUE,left,0.5185828000003312,TRUE
001,0.0375,right,right,TRUE,right,0.5986328999997568,TRUE
001,0.05,right,right,TRUE,right,0.3838413000003129,TRUE
001,0.0625,left,left,TRUE,left,0.8407627000005959,TRUE
001,0.05,right,left,FALSE,right,0.563765500000045,TRUE
001,0.0625,right,left,FALSE,left,0.6446463000002041,FALSE
001,0.0625,left,right,FALSE,left,0.38151059999927384,TRUE
001,0.0125,left,left,TRUE,left,0.44391929999983404,TRUE
001,0.025,left,right,FALSE,left,0.4083053000003929,TRUE
001,0.075,right,right,TRUE,right,0.8513652999999977,TRUE
001,0.0625,right,right,TRUE,right,0.8115635000003749,TRUE
001,0.0625,left,left,TRUE,left,0.9422295000003942,TRUE
001,0.05,right,left,FALSE,right,0.5242410999999265,TRUE
001,0.05,left,right,FALSE,right,0.7681984999999258,FALSE
001,0.0625,left,left,TRUE,left,0.35096510000039416,TRUE
001,0.075,right,right,TRUE,left,0.425207500000397,FALSE
001,0.05,left,left,TRUE,left,0.3084252999997261,TRUE
001,0.025,left,right,FALSE,right,0.5050108999994336,FALSE
001,0.0375,right,right,TRUE,right,0.37506020000000717,TRUE
001,0.025,right,left,FALSE,left,0.6836331000004066,FALSE
001,0.0375,right,left,FALSE,left,0.36830559999998513,FALSE
001,0.0125,left,right,FALSE,right,0.3312445999999909,FALSE
001,0.075,right,right,TRUE,left,0.253440600000431,FALSE
001,0.0125,right,right,TRUE,right,0.26843559999997524,TRUE
001,0.0375,left,right,FALSE,right,1.8479322000002867,FALSE
001,0.025,left,left,TRUE,left,0.7176465000002281,TRUE
001,0.075,left,right,FALSE,left,0.5420118000001821,TRUE
001,0.05,left,left,TRUE,left,0.44824330000028567,TRUE
001,0.0625,left,left,TRUE,right,0.2754371999999421,FALSE
001,0.025,left,right,FALSE,right,0.38254830000005313,FALSE
001,0.0375,right,left,FALSE,left,0.45041549999950803,FALSE
001,0.025,left,right,FALSE,left,0.33032060000005004,TRUE
001,0.0125,left,right,FALSE,right,0.430240199999389,FALSE
001,0.0625,left,right,FALSE,left,0.35444879999977275,TRUE
001,0.0625,left,right,FALSE,left,0.30836060000001453,TRUE
001,0.0375,right,left,FALSE,left,1.234617099999923,FALSE
001,0.075,right,left,FALSE,right,0.6223949999994147,TRUE
001,0.0375,left,right,FALSE,right,0.8401653000000806,FALSE
001,0.0625,left,right,FALSE,right,0.4561039999998684,FALSE
001,0.05,right,right,TRUE,left,0.4445029999997132,FALSE
001,0.05,right,right,TRUE,right,0.295708999999988,TRUE
001,0.0125,right,left,FALSE,left,0.34691279999969993,FALSE
001,0.075,left,left,TRUE,left,0.3255064000004495,TRUE
001,0.075,left,left,TRUE,left,0.43590539999968314,TRUE
001,0.0375,left,left,TRUE,left,0.2430995000004259,TRUE
001,0.0375,left,right,FALSE,right,0.5697311000003538,FALSE
001,0.0625,right,left,FALSE,left,2.0079343999996127,FALSE
001,0.05,left,left,TRUE,left,0.2532238000003417,TRUE
001,0.075,left,left,TRUE,left,0.14940669999941747,TRUE
001,0.075,right,left,FALSE,right,1.894296100000247,TRUE
001,0.0125,right,left,FALSE,left,0.22485330000017711,FALSE
001,0.0125,left,left,TRUE,left,0.4652632999996058,TRUE
001,0.05,left,left,TRUE,left,0.6704773000001296,TRUE
001,0.075,left,right,FALSE,left,0.5162735000003522,TRUE
001,0.025,left,right,FALSE,right,0.3960714000004373,FALSE
001,0.075,right,left,FALSE,right,0.3794470000002548,TRUE
001,0.025,right,right,TRUE,right,0.4223580999996557,TRUE
001,0.0625,left,right,FALSE,left,0.41877239999939775,TRUE
001,0.0125,right,right,TRUE,right,0.3636735999998564,TRUE
001,0.05,left,left,TRUE,left,0.35507159999997384,TRUE
001,0.0375,right,left,FALSE,left,0.45493050000004587,FALSE
001,0.0625,right,right,TRUE,left,0.34453299999950104,FALSE
001,0.075,right,left,FALSE,left,0.24991880000015954,FALSE
001,0.0125,right,right,TRUE,right,0.48984420000033424,TRUE
001,0.0375,left,right,FALSE,left,0.3442299999996976,TRUE
001,0.025,right,left,FALSE,left,0.515801399999873,FALSE
001,0.0125,right,right,TRUE,right,0.3768460999999661,TRUE
001,0.075,left,right,FALSE,right,0.8254157000001214,FALSE
001,0.05,right,left,FALSE,left,0.314086700000189,FALSE
001,0.0125,left,left,TRUE,left,0.8788238999995883,TRUE
001,0.025,right,left,FALSE,left,0.3743421000008311,FALSE
001,0.075,left,right,FALSE,left,0.40156589999969583,TRUE
001,0.0375,left,right,FALSE,left,0.3916202999998859,TRUE
001,0.0625,right,left,FALSE,right,0.40770709999924293,TRUE
001,0.025,left,left,TRUE,left,0.2514179999998305,TRUE
001,0.0375,right,right,TRUE,right,0.37835049999921466,TRUE
001,0.025,left,left,TRUE,left,0.31060879999949975,TRUE
001,0.0625,right,left,FALSE,right,0.16635430000042106,TRUE
001,0.0125,left,right,FALSE,right,0.2867728999999599,FALSE
001,0.075,left,left,TRUE,right,0.386175199999343,FALSE
001,0.0375,right,right,TRUE,right,0.18493799999941984,TRUE
001,0.025,right,right,TRUE,right,0.3041702999998961,TRUE
001,0.075,right,right,TRUE,left,0.10908310000013444,FALSE
001,0.0375,left,right,FALSE,right,0.2783422000002247,FALSE
001,0.05,right,right,TRUE,right,0.5356014999997569,TRUE
001,0.075,right,left,FALSE,right,1.111646600000313,TRUE
001,0.0125,left,right,FALSE,left,0.5706323000003977,TRUE
001,0.05,left,right,FALSE,left,1.229508600000372,TRUE
001,0.05,left,right,FALSE,right,0.31448400000044785,FALSE
001,0.0375,right,left,FALSE,left,0.3212235999999393,FALSE
001,0.075,right,right,TRUE,left,1.8481188999994629,FALSE
001,0.05,left,right,FALSE,left,0.139831100000265,TRUE
001,0.025,left,left,TRUE,left,0.24321360000067216,TRUE
001,0.025,left,right,FALSE,right,0.24101710000013554,FALSE
001,0.05,left,right,FALSE,left,0.3867729000003237,TRUE
001,0.0125,left,right,FALSE,left,0.5688409999993382,TRUE
001,0.025,right,left,FALSE,left,0.26289139999971667,FALSE
001,0.0375,left,left,TRUE,left,0.3962821000004624,TRUE
001,0.025,right,right,TRUE,right,0.485859000000346,TRUE
001,0.05,right,right,TRUE,left,0.9963804999997592,FALSE
001,0.05,right,right,TRUE,right,0.33117550000042684,TRUE
001,0.025,right,left,FALSE,left,0.35355750000053376,FALSE
001,0.0625,right,right,TRUE,left,0.3799981000001935,FALSE
001,0.0125,left,right,FALSE,right,0.3298360999997385,FALSE
001,0.0625,right,left,FALSE,left,0.7032415999992736,FALSE
001,0.0625,right,right,TRUE,left,0.3169404000000213,FALSE
001,0.025,left,left,TRUE,left,0.29383270000016637,TRUE
001,0.0375,right,left,FALSE,left,0.4855711000000156,FALSE
001,0.0625,left,left,TRUE,left,0.27911259999928006,TRUE
001,0.0625,right,left,FALSE,right,0.2920319000004383,TRUE
001,0.0375,left,left,TRUE,right,0.4287702999999965,FALSE
001,0.0375,left,left,TRUE,left,0.2688196999997672,TRUE
001,0.025,left,left,TRUE,left,1.078258100000312,TRUE
001,0.075,left,left,TRUE,left,0.2871030000005703,TRUE
001,0.05,right,left,FALSE,left,0.24717729999974836,FALSE
001,0.025,left,left,TRUE,left,0.33526329999949667,TRUE
001,0.0625,right,left,FALSE,left,0.49150940000072296,FALSE
001,0.0375,right,right,TRUE,right,0.3622211000001698,TRUE
001,0.0125,right,left,FALSE,left,0.3284713000002739,FALSE
001,0.025,right,left,FALSE,left,0.4380834000003233,FALSE
001,0.075,right,right,TRUE,right,0.22808079999958863,TRUE
